,Job_name,Company_name
196, Biznes proseslərin idarə edilməsi üzrə aparıcı mütəxəssis ,  Mars Overseas Baku 
197, Layihə meneceri (İT yönümlü) ,  Azərbaycan Kredit Bürosu 
198, Head of Supply Chain Planning Division , F FMCG 
199, Satış məsləhətçisi ,  Albedo 
200, Помощница директора , V V-Group 
203, SMM Manager ,  FİL Agency MMC 
204, Vizual Merçendayzer ,  NOVCO Group of Companies 
208, Sahə memarı ,  PMD Projects LLC 
209, Dil terapisti , C Company 
211, Monitorinq üzrə mütəxəssis ,  Veysəloğlu MMC 
216, Structural Designer , E Engineering company 
217, Təlim və inkişaf üzrə aparıcı mütəxəssis ,  Mars Overseas Baku 
221, Няня , K Kipias 
225, Satınalma mütəxəssisi , A AZCD Group QSC 
226, Satınalma üzrə mütəxəssis , S Sienmar Engineering 
227," SAT, İELTS, TOEFL müəlimi ", V Vision Academy 
228, Community specialist , A Azerbaijan Automobiles 
233, İstehsalın planlanması üzrə mütəxəssis ,  Mars Overseas Baku 
236, Aparıcı Mühasib , G GFC MMC 
237, Barista/Kassir (xanım) , C Chaplin House Baku 
239, Mühafizəçi , B Betta 
240, Texnik ,  Facility Management Group 
241, Nəqliyyatçı ,  eManat 
242, 1C Operator ,  Moore Azerbaijan 
246, Sürücü (minik maşını) , E En Pro Sol 
247, Tələb planlama üzrə mütəxəssis ,  Azersun Holding 
248," Junior Night Shift Helpdesk, Network and Computer Systems Administrator (students can apply) ", P PITS Global Data Recovery Services 
250, Хостес ,  Restaurants by Emin Agalarov 
251, Ведущий Бухгалтер по Налогам ,  Restaurants by Emin Agalarov 
254, Помощник Кондитера ,  Restaurants by Emin Agalarov 
256, Project manager , A Algoritmika 
257, Qrafik dizayner , A Arash Holding 
258, Receptionist , R Royal Sapphire Hotel 
259, Qəbuledici , P Performance Center Co 
260, Mühasib , R Regency Consulting and Tax Solutions 
261, Ofisiant , M Midtown Hotel Baku 
262, Qeydiyyatçı , M Midtown Hotel Baku 
263, Project Manager ,  Sharaf Media 
264, Müəllim ,  Azərbaycan Beynəlxalq Maarif Məktəbləri 
265, Feldşer-Laborant , R Referans CLC 
266, Sürücü- Ekspeditor , C Chat-A-Chat 
267, Data Analitik , 1 166 Yükdaşıma və Logistika 
268, Продавец консультант , P Parfum City 
269, Управляющий бизнес центром , O Old Town Plaza 
270, Angular Developer ,  AzəriMed QSC 
271, Ofis işləri üzrə əməliyyatçı ,  AzəriMed QSC 
272, Maliyyə işləri üzrə köməkçi ,  AzəriMed QSC 
273, Xadimə ,  AzəriMed QSC 
274, Sığorta üzrə mütəxəssis ,  AzəriMed QSC 
275, Barista , A Akabe İnşaat 
276, Xadimə , A Akabe İnşaat 
277, Mağaza meneceri (Elektronika – Nərimanov mağazası) ,  ELIT.EO 
278, SMM mütəxəssisi ,  Limak.az 
279, Прожект-менеджер , W Wilstream.аz 
280, Шеф–повар ,  Restaurants by Emin Agalarov 
281, Qaraj müdiri (Hacıqabul – Şirvan) , C Company 
282, Korporativ satış üzrə menecer ,  Universal Poliqraf 
283, Tikinti üzrə mühəndis (iş icraçısı) , A Azconstruction QSC 
284, Satıcı (xanım) , B Bəmbəyaz 
285, Procurement specialist , A Auto Azerbaijan 
286, Администратор магазина , I INEO Group 
287, Retail manager , I INEO Group 
288, Sous Chef (milli mətbəx) , F Firuzə Restaurant 
289, Официант , F Floors Baku 
290, Receptionist (kassir) , D Dalga Beach Aquapark 
291, Satış meneceri , F Flyblast Travel 
292, Учитель русского языка ,  Azərbaycan Beynəlxalq Maarif Məktəbləri 
293, Graphic Designer ,  Sharaf Media 
294, Контент менеджер/Графический дизайнер/Копирайтер , K Kipias 
295, Xadimə , L Lifli 
296, SMM-специалист , S Super Toys 
297, SAP Specialist ,  Umid Babek Operating Company 
298, Junior Marketing Specialist (students can apply) , P PITS Global Data Recovery Services 
299, İngilis dili müəllimi ,  ARI Global 
300, Marketing Manager ,  Div Academy 
301, Qonaqların qəbulu şöbəsinin meneceri ,  Gabala Hospitality Group 
302, SPA və Fitness şöbəsində nəzarətçi ,  Gabala Hospitality Group 
303, Operator , P Pizza Mizza 
304, Avtomatika və mexanika üzrə mühəndis ,  Can-Pa 
311, Şəxsi köməkçi ,  Reel Agency 
312, Audit üzrə mütəxəssis , U Unitrade Group MMC 
313, Logistika və nəqliyyat departamentinin rəhbəri , U Unitrade Group MMC 
314, Satış üzrə nümayəndə (TT kanalı) , U Unitrade Group MMC 
315, Sürücü , U Unitrade Group MMC 
316, Маркетолог-аналитик (digital) ,  Competo 
317, iOS devloper ,  Yapi Kredi Bank 
318, Android devoloper ,  Yapi Kredi Bank 
319, Категорийный менеджер в категории бытовая техника ,  Competo 
320, Оператор колл-центра ,  Competo 
321, Satış məsləhətçisi ,  Embawood 
322, Satış şöbəsinin Baş Müştəri Meneceri ,  PASHA Bank 
323, Biznesin inkişafı üzrə mütəxəssis , U Unitrade Group MMC 
324, Hüquqşünas , U Unitrade Group MMC 
325, Merçendayzer , U Unitrade Group MMC 
326, Satış təmsilçisi (Apteklər üzrə) , U Unitrade Group MMC 
327, Yüklərin daşınması üzrə ekspeditor , U Unitrade Group MMC 
328, Base Materials & Logistics Coordinator , O Oil and Gas Company 
329, Project manager , P Production Company 
330, Складчик-оператор ,  Competo 
331, Модели (женщины) , C Company 
332, Mühasib ,  Buta Group 
334, Marketing Coordinator , A Azerbaijan Automobiles 
335, Faktura nəzarəti mütəxəssisi ,  Veysəloğlu MMC 
336, Arxivçi ,  Veysəloğlu MMC 
337, Sales trainer ,  Carlsberg Azerbaijan 
338, Inhouse catering staff (for aircraft catering services) , A Aviation Services Group 
339, Sifarişlər üzrə operator ,  Kristal Abşeron 
340, Satış təmsilçisi (mal-material üzrə) ,  Kristal Abşeron 
341, Debitor və kreditorlarla hesablaşmalar üzrə mütəxəssis ,  Kristal Abşeron 
342, Korporativ satış üzrə mütəxəssis , G Grand Agro MMC 
343, Təmizləyici , T The Landmark Hotel Baku 
344, 1C Operator ,  Food Packing 
345, Müştəri̇ xi̇dmətləri̇ üzrə operator , P Positive Call Center 
346, Менеджер по продажам , C Company 
347, Biznes Analitik ,  Landau School 
348, Ekoloji və sosial təhlükəsizlik üzrə mütəxəssis ,  Qaçqınların və Məcburi Köçkünlərin İşləri üzrə Dövlət Komitəsi 
349, Monitorinq və qiymətləndirmə üzrə mütəxəssis ,  Qaçqınların və Məcburi Köçkünlərin İşləri üzrə Dövlət Komitəsi 
350, Biznes və istehlak kreditlərinin təhlili şöbəsinin mütəxəssisi ,  Xalq Bank 
351, Müştəri xidməti şöbəsinin mütəxəssisi ,  Xalq Bank 
352, Çağrı mərkəzinin operatoru , M Millikart LLC 
353, Sales manager ,  Boomerang Agency 
354, Mühasib ,  Banking and Financial Training Center 
355, Kiçik mühasib ,  Olivia Beauty & Care 
356, HSE Specialist / Lead Specialist ,  Saffron Group 
357, Laboratoriya üzrə texniki işçi , O ODONTOS LTD 
358, Sürücü (Masallı) ,  eManat 
359, Information Security Specialist ,  PASHA Holding 
360, Yanacaq Doldurma Məntəqəsi üzrə Nəzarətçi ,  North West Construction 
361, Texnik ,  North West Construction 
362, GPS üzrə mütəxəssis ,  North West Construction 
363, Yanacaq Doldurma Məntəqəsi üzrə Operator ,  North West Construction 
364, Yanacaq-sürtkü materiallarına nəzarət və keyfiyyət üzrə texniki ,  Azerbaijan Airlines 
365, Uçuşların elektrik-işıq texniki təminatı xidmətinin elektrik mexaniki ,  Azerbaijan Airlines 
366, Learning and Development Manager , R Resant Group 
367, Business Analyst (Senior Level) at Agile Tribe ,  PASHA Insurance 
368, Project coordinator/Personal assistant , C Company 
369, Pediatrik/OTC Qrup məhsul üzrə menecer (PM) , A Ambiens MMC 
370, Kassir (İsmayıllı) ,  Kontakt Home 
371, Operator (Servisdə) ,  Kontakt Home 
372, Oftalmoloq - optikometrist ,  Otomed 
373, Audiometrist (eşitmə cihazlarının satış məsləhətçisi) ,  Otomed 
374, Kassir (Salyan) ,  Kontakt Home 
375, Qazanxana və Kompressor Mütəxəssisi ,  Azersun Holding 
376, Hüquqşünas ,  Xalq Sığorta 
377, Əlaqə mərkəzinin mütəxəssisi , S SR Construction Co 
378, B2B Sales Manager ,  ASBC MMC (Торговая марка iSpace) 
379, Менеджер-магазина ,  ASBC MMC (Торговая марка iSpace) 
380, Kopirayter ,  ASBC MMC (Торговая марка iSpace) 
381, Fizika müəllimi (Azərbaycan və rus bölmələri üzrə) , K Khazar University Dunya IB School 
382, Rus dili və ədəbiyyatı müəllimi , K Khazar University Dunya IB School 
383, Riyaziyyat müəllimi (rus bölməsi üzrə) , K Khazar University Dunya IB School 
384, Kimya müəllimi (rus bölməsi üzrə) , K Khazar University Dunya IB School 
385, Coğrafiya müəllimi (rus bölməsi üzrə) , K Khazar University Dunya IB School 
386, Biologiya müəllimi (rus bölməsi üzrə) , K Khazar University Dunya IB School 
387, Energetika Mühəndisi ,  ATEF Şirkətlər Qrupu 
388, Daxili nəzarət mütəxəssisi ,  Araz Supermarket 
389, Qeydiyyatçı ,  UNICO 
390, Engineering Manager , I Intercontinental Hotel Baku 
391, Anderrayter ,  Xalq Sığorta 
392, İnformasiya Təhlükəsizliyi üzrə Aparıcı Mütəxəssis ,  PASHA Insurance 
393, Korporativ Satış üzrə Mütəxəssis ,  Music Gallery 
394, Reklam üzrə baş mütəxəssis ,  Music Gallery 
395, Kopirayter ,  Music Gallery 
396, Bəyannamələr üzrə mütəxəssis ,  Azerbaijan SuperMarket 
397, Mühasib ,  Mars Overseas Baku 
398, Mühasib-operator ,  Mars Overseas Baku 
399, Ünvanda təqib şöbəsinin mütəxəssisi ,  Kapital Bank 
