,Job_name,Company_name
1030, Mağaza meneceri (Elektronika – Xaçmaz) ,  ELIT.EO 
1031, Planlanlama mühəndisi ,  North West Construction 
1032, Mühafizəçi , C Company 
1033," İşə qəbul, Öyrənmə və İnkişaf Bölməsinin Müdiri ", C Company 
1034, Housekeeping Supervisor , I Intercontinental Hotel Baku 
1035, Dizayner , G Göygöl Şərab Zavodu ASC 
1036, Marketinq şöbəsinə ixrac əməliyyatları üzrə mütəxəssis , G Göygöl Şərab Zavodu ASC 
1037, Aparıcı maliyyə analitiki ,  Facility Management Group 
1038, Call center operator (xanım) , A Aral Group Baku 
1039, Dizayner-konstruktor ,  Embawood 
1040, Azərbaycan dili müəllimi (ingilis və rus dilli tələbələr üçün) ,  A-Level Education Group 
1041, Keyfiyyət və prosseslərə nəzarət üzrə mütəxəssis , G Gədəbəy Mineral Suları MMC 
1042, Satış meneceri - Tibbi Turizm (Freelancer) ,  A-Medical 
1043, Yem istehsalatı üzrə texnoloq ,  SƏBA 
1044, Yem məhsulları üzrə satış müdiri / təmsilçisi ,  SƏBA 
1045, Kredit mütəxəssisi (Nərimanov filialı) , M Minor Electronics 
1046, Daşınmaz Əmlak Mütəxəssisi ,  Araz Supermarket 
1047, HR köməkçisi/Rekruter ,  Konsis 
1048, Dərzi (xanım) , R Rortvest Safety uniform 
1049, Mağaza meneceri , R Rortvest Safety uniform 
1050, Rəqəmsal layihələrin idarə olunması bölməsinin rəhbəri , P Prior Leasing 
1051, Press Officer ,  Money4you.financial MMC 
1052, Baş Anbardar , Z Zəhmət - Ruzi MMC 
1053, Smeta Mühəndisi , R Ricon MMC 
1054, Satış Meneceri , M Mutfakçı Mobilya 
1055, İş Mükəmməliyyət Şöbə müdiri ,  Azersun Holding 
1056, Fənn müəllimləri (ingilis dilli) ,  Celt Colleges 
1057, Sürücü (xanım) , M Massi 
1058, Office Representative , M Medipol Health and Education Group 
1059, Кассир ,  Restaurants by Emin Agalarov 
1060, IT Project Manager/Business Analyst ,  SoftGile 
1061, Mopedo və Motoskilet ustası , 1 166 Yükdaşıma və Logistika 
1062, İnsan resursları üzrə təcrübəçi , 1 166 Yükdaşıma və Logistika 
1063, Юрисконсульт , A AKBIS 
1064, Call center - SMM mütəxəssisi , W West Town 
1065, Müxtəlif vakansiyalar , A AN Production 
1066, Keyfiyyətə nəzarət üzrə menecer , M MediClub 
1067, Fəhlə ,  Food Packing 
1068, İxrac üzrə satış mütəxəssisi , A Agrarco 
1070, Kassir (xanım) , O OMİD Mağazalar şəbəkəsi 
1072, SMM mütəxəssis (On-site) , E Eastcaf 
1073, Barista , E Eastcaf 
1074, Kategoriya üzrə mütəxəssis (Qida məhsulları üzrə) , I Inci Group Of Companies 
1075, Korporativ satış mütəxəssisi , I Inci Group Of Companies 
1076, Packing Designer , I Inci Group Of Companies 
1077, Online satış üzrə menecer , S Santral 
1078, Менеджер по работе с клиентами ,  Infocus 
1079, Zərərlərin tənzimlənməsi şöbəsinin mütəxəssisi , C Company 
1080, Risklərin idarə edilməsi və aktuar hesablamalar üzrə mütəxəssis , C Company 
1081, Data analitik ,  Mars Overseas Baku 
1082, Ofis meneceri , S Sabah Group 
1083, Marketinq və ictimaiyyətlə əlaqələr üzrə mütəxəssis ,  Ateshgah Sigorta 
1084, Складчик ,  Restaurants by Emin Agalarov 
1085, İnsan resursları üzrə kiçik mütəxəssis , L Libraff 
1086, Aşpaz , H Hajigabul Poultry Farm Company 
1087, Frontend developer (angular) ,  MinA 
1088, .Net developer (middle) ,  MinA 
1089, Android mobile developer ,  MinA 
1090, Vergi qanunvericiliyi üzrə təlimçi ,  BPG Consulting Centre 
1091, Mühasibat uçotu və 1C üzrə təlimçi ,  BPG Consulting Centre 
1092, Auditor ,  Ayan MMC 
1093, Anbardar - Sürücü ,  Libra Kitab 
1094, Təcrübə Proqramı , F Flyblast Travel 
1095, Direktor köməkçisi (İdxal üzrə) , P PAY Group 
1096, Monitorinq əməkdaşı (Quba-Xaçmaz-Qusar) ,  OBA marketlər şəbəkəsi 
1097, Tibbi nümayəndə (Məhsul təbliğatı üzrə mütəxəssis) , S SAF Pharma LLC 
1098," Hostes (Bilgah, Amburan mall) ",  Le Parùle 
1099," Ofisiant (xanımlar və bəylər, Bilgah, Amburan mall) ",  Le Parùle 
1100, Baş Anbardar , S Star Mining LLC 
1101, Brend menecer ,  Milla Dairy 
1102, Full-stack software developer (middle) , T TayqaTech LLC 
1103, Satış üzrə mütəxəssis ,  CasaMia 
1104, SMM Menecer ,  Amaze Group 
1105, Kredit mütəxəssisi ,  International BOKT 
1106, Credit Control Specialist ,  Azerconnect 
1107, Data Governance and Quality Specialist ,  Azerconnect 
1108, Front Office Supervisor , R Radisson Baku Hotel 
1109, İnsan resursları üzrə mütəxəssis ,  Matanat A 
1110, Doorman ,  Collezione Italia 
1111, Various roles , B Badamdar Estates 
1112, Satış meneceri , N Natuzzi mağazası 
1114, Контент-агент в Интернет-магазин (маркетплейс Umico) ,  Competo 
1115, Учителей 5-11 классов , I Imza Group 
1118, Специалист по обучению коммерческой команды (Департамент по развитию бизнеса) ,  Carlsberg Azerbaijan 
1119, Менеджер по торговому маркетингу ,  Carlsberg Azerbaijan 
1120, Təşkilati Risklərin İdarə Edilməsi üzrə Mütəxəssis ,  PASHA Bank 
1121, Satınalma üzrə mütəxəssis ,  A2Z Technologies 
1122, Təşkilati Risklərin İdarə Edilməsi üzrə Ekspert ,  PASHA Bank 
1123, Baş Müştəri Meneceri / Özəl Bankçılıq ,  PASHA Bank 
1124, Satış üzrə mütəxəssis , N NBA Technologies International LLC 
1125, Arxiv bölməsinin rəisi ,  Azərbaycan Dəmir Yolları 
1126, Sürücü (çatdırılma xidməti üçün) ,  Kontakt Home 
1127, Məzmun Yaradıcısı (Content Creator) ,  PASHA Bank 
1129, Satış üzrə menecer ,  Keproshop 
1130, Resepşn , C Chirag Plaza 
1131, Qaynaqçı , A Atilla Garaj 2014 
1132, Tokarçı , A Atilla Garaj 2014 
1133, Maliyyə üzrə təcrübə proqramı ,  Ferrum Capital 
1134, Promoter ,  Sweet Baku 
1135, Income auditor , Q Qalaalti Hotel & Spa 
1136, Baş xəzinədar , Q Qalaalti Hotel & Spa 
1140, Mətbəx Comisi ,  MAYA Cloud Kitchen 
1141, Demi Chef ,  MAYA Cloud Kitchen 
1142, PL/TMM şöbəsinin (Pulların leqallaşdırılması və terrorizmin maliyyələşdirilməsi ilə mübarizə) mütəxəssisi ,  Bank Respublika ASC 
1143, Satış üzrə rəhbər ,  Onvolt MMC 
1144, Satış üzrə mütəxəssis ,  Onvolt MMC 
1145, Servis müdiri ,  Onvolt MMC 
1146, Ofis meneceri , S Sigortali.az 
1147, Mebel istehsalatı sexinin müdiri ,  Amal Group 
1148, Müqavilələr üzrə Hüquqşünas ,  Sinteks Group of Companies 
1149, Satınalma üzrə assistent , R Ram Holding 
1150, Operator call center ,  Azericard 
1151, Kiber Təhlükəsizliyi üzrə SOC L2 Mütəxəssisi ,  Azericard 
1152, Layihələrin idarə olunması üzrə aparıcı mütəxəssis ,  Azericard 
1153, Waiter/Waitress , H Hilton Baku 
1154, Satıcı-məsləhətçi ,  Blue Planet Distribution 
1155, İnsan resursları üzrə araşdırmacı ,  Ferrum Capital 
1156, Şahmat müəllimi , M Multi Business Services MMC 
1157, STEAM müəllimi , M Multi Business Services MMC 
1158, Rəqs müəlliməsi , M Multi Business Services MMC 
1159, Mental arifmetika müəlliməsi , M Multi Business Services MMC 
1160, Ofisiant , C Company 
1161, Satış meneceri , A Azcargo Logistics and Management Services 
1162, Mühafizəçi , L Lion Security 
1163, Xəzinədar-satıcı , V Viva Dessert 
1164, Aşpaz ,  Le Parùle 
1165, Pizzaman köməkçisi ,  Le Parùle 
1166, Mebel ustası , S Stone House 
1167, Tibbi ləvazimatlar üzrə satış meneceri ,  Terra Pharm 
1168, Tibbi nümayəndə (Tibbi ləvazimatlar üzrə) ,  Terra Pharm 
1169, Ofis meneceri , M Massi 
1170, Designer (Hibrid) , E Eastcaf 
1171, IT Technician ,  European Azerbaijan School 
1172, Business Consultant , T TWC Management Consulting 
1173, Paylama Mərkəzində (PM) ehtiyatların planlaması üzrə Supervayzer ,  Azerbaijan SuperMarket 
1174," Product owner, IT Business analyst ",  Iktex 
1175, Daxili Audit Təlimçisi , F Finans Academy 
1176, HR Management Təlimçisi , F Finans Academy 
1177, Məlumat bazası üzrə inzibatçı ,  eManat 
1178, Satıcı-məsləhətçi , A ADORE kompani 
1179, 1C / Micro Operator , A Aztrade 
1180, Aparıcı memar , A ATKİNS şirkətinin Azərbaycan Respublikasındakı nümayəndəliyi 
1181, Журналист ,  Trend News Agency 
1182, Çağrı mərkəzinin operatoru , C Chat-A-Chat 
1183, Aparıcı Mühasib , A AZSKTT 
1184, Satış üzrə koordinator , T Technoil LLC 
1185, İT Dəstək Təcrübə Proqramı ,  Maxtexno LLC 
1186, Tikinti işləri üzrə sahə rəisi ,  Realest 
1187, Менеджер магазина ,  ASBC MMC (Торговая марка iSpace) 
1188, SAP-də İnsan kapitalının idarəedilməsi üzrə məsləhətçi (Proqram təminatı) ,  Caspian Innovation Center 
1189, Rəqəmsal marketinq üzrə aparıcı mütəxəssis , A Aqrar İnnovasiya və Təchizat Şirkəti 
1190, Korporativ kreditlər üzrə mütəxəssis/aparıcı mütəxəssis/baş mütəxəssis ,  AFB Bank 
1191, Mikro kreditlər üzrə mütəxəssis ,  AFB Bank 
1192, Xərclərə nəzarət üzrə menecer , R Ricon MMC 
1193, Sahə rəisi (Füzuli) , R Ricon MMC 
1194, Sürücü , M Massi 
1195, SMM/Reklam menecer , B Brightman BMC MMC 
1196, Penetration Tester ,  Cyberpoint 
1198, Əlaqə mərkəzi şöbəsində operator ,  Baku Electronics 
1199, Satış Məsləhətçisi (Bakı mağazaları üzrə) ,  Baku Electronics 
1200, Mağaza meneceri (Elektronika – Cəlilabad) ,  ELIT.EO 
1203, Product Marketing Manager (Cybersecurity) ,  BAKOTECH 
1204, Кассир , K Kudo Kudo 
1205, Account Manager , S Synergy Partnership 
1206, Anbardar , R Ricon MMC 
1207, Logistika üzrə mütəxəssis ,  MKT İstehsalat Kommersiya MMC 
1208, Logistics specialist , P Providence Doytch Limited 
1209, Digital Marketing Specialist ,  CÀSÀ Culinary Arts Center of Azerbaijan 
1210, Restoran meneceri ,  CÀSÀ Culinary Arts Center of Azerbaijan 
1211, Təmizlik  üzrə supervayzer ,  CÀSÀ Culinary Arts Center of Azerbaijan 
1212, Aşpaz (şirniyyatçı) ,  CÀSÀ Culinary Arts Center of Azerbaijan 
1213, Cost Engineer , R RSM Azerbaijan 
1214, Satış məsləhətçisi (Elektronika) ,  ELIT.EO 
1215, Electrician , H Hilton Baku 
1216, Contract Specialist ,  Carlsberg Azerbaijan 
1217, Business Analytics Specialist ,  Grand Logistics Center 
1218, Сварщик по аргону ,  Carlsberg Azerbaijan 
1219, Biznes analitik ,  PASHA Life 
1220, Xadimə (Avto-salon) , C Company 
1221, Satış təmsilçisi (Region üzrə) ,  Matanat A 
1223, İnvestisiya şöbəsinə qiymətli kağızlar üzrə mütəxəssis ,  Para BOKT 
1224, Asistent , C Caspian Equipment Company 
1225, İnsan resursları üzrə mütəxəssis , N Novator HRC 
1226, Early Years Teacher , A Azerbaijan British College 
1227, Valve technician , O Oil and Gas Company 
1228, Sürücü ,  By Telecom 
1229, Специалист по внедрению / Внедренец 1С , F Financial Chain Corporation LLC 
1230, Müştəri xidmətləri üzrə mütəxəssis ,  Melissa Group 
1231, English Instructor , E Enverson Colleges 
1232, Rəhbər və ailə sürücüsü , G Globetrans 
1233, Texniki baxım üzrə baş nəzarətçi (MEP supervisor) ,  Facility Management Group 
1241, Junior Accountant , C Company 
1242, Korporativ satış üzrə mütəxəssis (Həyat sığortası məhsullarının satışı şöbəsi) ,  Ateshgah Sigorta 
1243, Waiter , S Shusha Hotel Company 
1244, SPA Receptionist , S Shusha Hotel Company 
1245, Guest Service Agent , S Shusha Hotel Company 
1246, Executive Assistant to CEO ,  Absheron Hotel Group 
1247, Marketinq üzrə mütəxəssis , Q Quba Palace Hotel 
1248, Personal Assistant , P PMD Hospitality 
1249, Onlayn hissəvi ödəniş sənədləşməsi üzrə operator ,  Kontakt Home 
1251, Təcrübəçi , C Company 
1252, Satınalmalar üzrə mütəxəssis , C Company 
1253, Консультант по сервису автомобилей , A Abşeron Avtomobil Mərkəzi 
1255, Monitorinq əməkdaşı ,  Veysəloğlu-Rossmann 
1256, Qazma ustası , K Kəngərli 
1257, Sales Representative , S Smart Solutions 
1258, Pre-sales Manager ,  Huawei Technologies Azerbaijan 
1259, Satış təmsilçisi (Madame Coco və Decoria mağazalar şəbəkəsi) , E Emsa Baku 
1262, Texniki işçi ,  AZZA Cake House 
1263, İnfrastruktur bölməsinin rəhbəri ,  Aztelekom 
1264, Brend İdarəetməsi üzrə Mütəxəssis ,  PASHA Bank 
1266, Специалист по корпоративным продажам (Corporate Sales Specialist (B2B/Hunter) ,  Competo 
1267, Агент по обучению партнёров ,  Competo 
1268, SƏTƏM üzrə mütəxəssis ,  Zeytun Pharmaceuticals 
1269, IB PYP Homeroom Teacher , K Khazar University Dunya IB School 
1270, Ofis meneceri , A Armaad Group 
1271, İnşaatçı mühəndis , Q Qartal Tikinti Firması 
1272, Xarici satınalma üzrə kiçik mütəxəssis , I Inci Group Of Companies 
1273, Marketinq mütəxəssisi , I Inci Group Of Companies 
1274, İşə Qəbul üzrə Mütəxəssis , R Ram Holding 
1275, Laçın Sahə Mühəndisi , K Karabakh Group 
1276, Laboratoriya rəhbəri ,  Azersun Holding 
1277, Satış təmsilçisi , P Purple Cake 
1278, İnsan resursları əməliyyatları üzrə aparıcı mütəxəssis , B Bioloji Təbabət Klinikası 
1279, Nəzarətçi , F FLY INN BAKU 
1280, Çamaşırxana işçisi , F FLY INN BAKU 
1281," Təftiş üzrə mütəxəssis (Ağcabədi, Tovuz, Şirvan) ",  Mars Overseas Baku 
1282, Administrative specialist , C Company 
1283, Electronics Engineer ,  Umid Babek Operating Company 
1284, Taxta altlıqlara nəzarət üzrə mütəxəssis , A AAC MMC 
1285, Kompüter operator , M Minor Electronics 
1286, Satış müdiri , M Minor Electronics 
1288, Tender üzrə mütəxəssis ,  Crystal Group 
1289, Online satış üzrə kiçik mütəxəssis , C City Finance BOKT 
1290, Müştəri xidmətləri / Çağrı mərkəzi mütəxəssisi , 1 166 Express 
1291, Satış meneceri ,  Sara Invest Holding 
1292, Sales Manager HE (TV & Home Entertainment) , I International Company 
1293, GTM/Marketing Manager , I International Company 
1294, Digital Marketing Expert ,  Azerconnect 
1295, Mexanik , A Avro - Asiya İnşaat Korporasiyası “Evrascon” ASC 
1296, Çilingər , A Avro - Asiya İnşaat Korporasiyası “Evrascon” ASC 
1297, Monitorinq əməkdaşı ,  VMF 
1298, Satınalmalar üzrə köməkçi ,  Facility Management Group 
1299, Kiçik və orta sahibkarlarla iş üzrə mütəxəssis (KOS satışlar) ,  Ferrum Capital 
1300, Əməliyyatlar üzrə Menecer ,  Sinteks Group of Companies 
1303, Full Stack Net Developer , Q Qafqaz NET LLC 
1304, Şəxsi sürücü , C Company 
1305, Специалист по продажам , F Frazex 
1306, Satınalma üzrə nümayəndə , G Green Tech 
1307, Restoran Meneceri , B Boranı restoranlar şəbəkəsi 
1308, Складчик ,  Carlsberg Azerbaijan 
1309, Bellboy , W Winter Park Hotel Baku 
1310, SMM Manager , R Restaurant 
1311, Hərəkətli effektlər (Motion) üzrə Dizayner ,  Azerbaijan SuperMarket 
1312, Kopirayter ,  Azerbaijan SuperMarket 
1313, Kateqoriya üzrə kiçik menecer ,  Azerbaijan SuperMarket 
1314, Transport Coordinator , O Oil and Gas Company 
1315, Interior Designer ,  Beta Consortium LLC 
1316, Draftsman ,  Beta Consortium LLC 
1317, Middle QA Tester (Software) ,  eManat 
1318, Sous Chef , I Intercontinental Hotel Baku 
1321, Müştəri təmsilçisi ,  Bestcomp Group 
1322, Kargüzar-referent ,  Matanat A 
1323, Texniki-servis mərkəzinin texniki (elektronçu) ,  Altair Technologies 
1324, Junior Qrafik Dizayner ,  Azimut LLC 
1325, Satınalma və logistika üzrə kiçik mütəxəssis ,  Azimut LLC 
1326, Senior System Administrator ,  Xalq Sığorta 
1327, Ассистент офиса , A Avenue 
1328, Satınalma üzrə mütəxəssis ,  Modern Engineering Bureau of Azerbaijan 
1329, Layihə rəhbəri / sahə rəisi ,  ArchiCO 
1330, Baş mühasib , S Shark Chemie MMC 
1331, Sales Manager , C Core Construction 
1332, Sistemlərin və şəbəkənin idarə edilməsi şöbəsi – Sistem inzibatçısı (Linux) ,  Xalq Bank 
1333, Təmir üzrə Texnik / Engineer ,  Baku Hotel Company 
1336, Kassir (Şamaxı) ,  Kontakt Home 
1337, İR əməliyyatları üzrə mütəxəssis ,  MKT İstehsalat Kommersiya MMC 
1338, Mütəxəssis (Bakı) , G Green Finans Menecement 
1339, Təchizat üzrə mütəxəssis ,  GESCO ASC 
1341, Corporate Sales & Service Specialist ,  Rayda LLC 
1342," Incoming business development specialist (Europe, South-East Asia) ",  Rayda LLC 
1343, Marketing Manager ,  Rayda LLC 
1344," MICE Sales Specialist (Meetings, Incentives, Conferences, Events) ",  Rayda LLC 
1345, Low voltage sales manager , P Production Company 
1346, IB PYP Teacher Assistant , K Khazar University Dunya IB School 
1347, Sürücü , A Avro - Asiya İnşaat Korporasiyası “Evrascon” ASC 
1349, Корпоративные продажи , L Line Solution 
1351, Operator ,  AZINTELECOM 
1352, Marketinq direktoru , R Resant Group 
1353, Quraşdırıcı texnik ,  Kontakt Home 
1354," Satış meneceri (logistika, nəqliyyat) ",  AzerTunelSuTikinti 
1355, Operation manager , I INEO Group 
1356, Executive Assistant ,  Katech 
1362, Stoka nəzarət üzrə mütəxəssis ,  OBA marketlər şəbəkəsi 
1363, Vergi və gömrük işləri üzrə şöbə rəhbəri ,  OBA marketlər şəbəkəsi 
1364, Head of Marketing Department ,  Baku Electronics 
1365, Mağaza meneceri , S Sabah Group 
1366, Mebel üzrə deşmə dəzgahında operator ,  Kontakt Home 
1367, Kassir (Göyçay) ,  Kontakt Home 
1368, Менеджер по продажам ,  AB Origin 
1369, Регистратор/ оператор колл-центра ,  Sağlam Ailə 
1370, Marketing mütəxəssisi ,  Autolux Azerbaijan LLC 
1371, Texniki dəstək üzrə mütəxəssis ,  MKT İstehsalat Kommersiya MMC 
1372, Sürücü (Gəncə) ,  eManat 
1373, .Net Full Stack Developer ,  MKT İstehsalat Kommersiya MMC 
1374, Category Marketing Specialist ,  Baku Electronics 
1375, Satış nümayəndəsi (Soyuq satış) , N Nurgun Holding 
1376, Satıcı – konsultant , N Nurgun Holding 
1379, Architect , C Company 
1382, Texnik , R Resant Group 
1384, Guest Services Agent , R Resant Group 
1385, Aşpaz , M Midtown Hotel Baku 
1386, Xarici bazar üzrə satış mütəxəssisi , A ASSAN-STP Panel 
1387, Daxili satış üzrə mütəxəssis , A ASSAN-STP Panel 
1388, Satış təmsilçisi (Region) , P Palıd - 2015 MMC 
1390, Marketing director , C Company 
1391, İnsan Resursları üzrə Mütəxəssis , O ODONTOS LTD 
1392, Texniki dəstək üzrə mütəxəssis (montaj işləri üzrə) ,  Azərpoçt 
1393, SƏTƏM üzrə mütəxəssis (Füzuli) , R Ricon MMC 
1394, Maliyyə nəzarəti üzrə baş mütəxəssis , B Baku Steel Company CJSC 
1395, Sosial media cavablama operatoru ,  Star Express 
1396, Müştəri Meneceri (KOS) ,  PASHA Bank 
1397, Kiçik Kredit Risk Anderrayteri (KİB) ,  PASHA Bank 
1398, Anbardar , H Hajigabul Poultry Farm Company 
1399, Satınalma üzrə mütəxəssis , H Hajigabul Poultry Farm Company 
1400, Laborant , K Konfirom 
1401, Deklarant , K Konfirom 
1402, Satınalma üzrə kiçik mütəxəssis , K Konfirom 
1403, PA to CEO (Direktor Köməkçisi) , C Company 
1404, Dizayner ,  By Telecom 
1405, Satıcı (xanım) , B Bərəkət Mağazası 
1406, Qiymətli kağızlar üzrə mütəxəssis , G GL ASC 
1408, Ofis meneceri ,  Lubricant Supplier 
1409, Tender üzrə mütəxəssis ,  Lubricant Supplier 
1410, Sifariş toplama operatoru ,  NetTech 
1411, Retail Manager Assistant ,  Huawei Technologies Azerbaijan 
1412, Texniki planlama və monitorinq şöbəsinin rəhbəri (tikinti) , R Ricon MMC 
1413, Mühəndis-elektrik (Füzuli) , R Ricon MMC 
1414, Mühəndis-mexanik (Füzuli) , R Ricon MMC 
1415, Инженер по качеству (Отдел по контролю качества) ,  Carlsberg Azerbaijan 
1416, Housekeeping coordinator ,  Baku Marriott Hotel Boulevard 
1417, Baş mühasibin köməkçisi , F FLY INN BAKU 
1418, QHSE Specialist , M MST Engineering Services 
1419, Digital Marketing Specialist ,  Zeta Group 
1420, Avtoqreyder / Vərdənə Maşınisti , A Avro - Asiya İnşaat Korporasiyası “Evrascon” ASC 
1421, İnformasiya təhlükəsizliyi şöbəsinin mütəxəssisi (Kiber Nüfuzetmə mütəxəssisi - Pentester) ,  Xalq Bank 
1422, İnsan Resursları üzrə Baş Mütəxəssis , R Resant Group 
1423, İnformasiya təhlükəsizliyi şöbəsinin mütəxəssisi ,  Xalq Bank 
1424, Kredit şöbəsinin mütəxəssisi ,  Xalq Bank 
1425, Kredit şöbəsinin mütəxəssisi (İsmayıllı) ,  Xalq Bank 
1426, Ödəniş sistemləri şöbəsinin mütəxəssisi ,  Xalq Bank 
1427, Sistemlərin və şəbəkənin idarə edilməsi şöbəsinin mütəxəssisi – Sistem inzibatçısı (Microsoft) ,  Xalq Bank 
1428, Mühasib , V Valehlər MMC 
1429, Full Stack Developer ,  Safaroff Agency 
1431, Biznes-analitika şöbəsinin mütəxəssisi ,  Xalq Bank 
1432, Rəqəmsal bankçılıq şöbəsinin mütəxəssisi ,  Xalq Bank 
1433, Qrafik-dizayner , F FLY INN BAKU 
1434, Mikro kreditlər üzrə mütəxəssis (Gəncə filialı) ,  Unibank 
1435, SMM специалист , O Oriflame 
1436, Редактор (английского языка) ,  Trend News Agency 
1437, Sürücü ,  Zeytun Pharmaceuticals 
1438, İR üzrə koordinator , P Papa John’s Azərbaycan 
1439, Mühasib köməkçisi , E EuroDoor 
1440, Повар горячего цеха , M MyDom u Nargiz 
1441," Tabel üzrə inzibatçı (Timekeeper, Qarabağ) ",  North West Construction 
1444, Tik-Tok Video Operator , G Güvənli MMC 
1445, Məhsul tanıtım mütəxəssisi ,  Veysəloğlu-Rossmann 
1446, Satış üzrə mütəxəssis , E EuroDoor 
1447, Xarici Satınalma üzrə Aparıcı Mütəxəssisi ,  Matanat A 
1448, JCB Operator (Saray) ,  UNICO 
1449, Memar ,  UNICO 
1450, Gələcəyini inşa et Təcrübə Proqramı ,  UNICO 
1451, Mühasib , G Grandtek 
1452, Asfaltyuyan maşın operatoru / Bekoloder operatoru / Ağır texnika üzrə çilingər-elektrik , A Avro - Asiya İnşaat Korporasiyası “Evrascon” ASC 
1453, Marketiq meneceri , E EuroDoor 
1454, Mühasib – operator , T Tamashaee Foods 
1455, İnsan Resursları üzrə Aparıcı Mütəxəssis ,  AGRO-VEST RETAIL 
1456, Mühasib köməkçisi (təcrübəçi) ,  Avromed Company QSC 
1458, Daşınmaz əmlak satışı üzrə mütəxəssis , M Mərtəbələr MMC 
1460, Executive Chef , H Hotel 
1461, Ehtiyat hissələri üzrə anbardar , 1 166 Yükdaşıma və Logistika 
1462, Operator (Nasosxana) ,  Agro Dairy 
1463, Junior Java Developer , B B.EST Solutions 
1464, Tibbi nümayəndə , A Ambiens MMC 
1465, Оператор call центра , E Eurofilter Azerbaijan 
1466, Jr. Sous Chef ,  Holiday Inn Baku 
1467, Front desk agent ,  Holiday Inn Baku 
1469, Waiter ,  Holiday Inn Baku 
1470, Marketinq administratoru , G GFC MMC 
1472, Satınalma üzrə mütəxəssis , O ODONTOS LTD 
1473, Satış üzrə mütəxəssis , O ODONTOS LTD 
1474, Recruiting Specialist ,  ELIT.EO 
1475, Hüquqşünas , G GFC MMC 
1476, Category manager (Small domestic Appliances) ,  ELIT.EO 
1478, Fəhlə (çörək zavodu) , C Company 
1479, Paketləyici , C Company 
1480, Rele mühafizəsi və avtomatika üzrə elektrik ,  Agro Dairy 
1481," Mağaza müdiri (Cəlilabad, Kürdəmir) ", C Company 
1482, Ресепшн ,  Sea Breeze Resort & Residences 
1483, İngilis dili müəllimi , F Fred’s English təhsil mərkəzi 
1484, İngilis dili müəllimi , C Company 
1485, Direktorun Köməkçisi ,  Sinteks Group of Companies 
1487, Anbar nəzarətçisi ,  Başak Group 
1488, Legal Assistant , F Financial Chain Corporation LLC 
1489, Satış mütəxəssisi ,  FCC LLC 
1490, Interface Engineering Lead , J Joint Operating Company of Absheron Petroleum 
1492," Kredit üzrə mütəxəssis (Bakı, Xaçmaz, Masallı) ",  Baku Electronics 
1493, Əməliyyatçı (Zaqatala) ,  ELIT.EO 
1494, Tur-Bələdçi , E Ezone 
1495, Tender üzrə IT mütəxəssis , C Company 
1496, Videoqraf , M Media Balans 
1497, Satınalma üzrə aparıcı mütəxəssis ,  Kontakt Home 
1498, Qaraj rəisi , C C.Q PARTNERS MMC 
1499, Leisure Sales Manager ,  The Ritz-Carlton Baku 
1500, Aparıcı mühasib ,  SMTS 
1501, Biznes Sistemləri üzrə Mütəxəssis ,  PASHA Bank 
1502, Data Analitik , A Aqrar İnnovasiya və Təchizat Şirkəti 
1503, Product owner , I Inci Group Of Companies 
1504, Ekspeditor (Satış təmsilçisi) , I Inci Group Of Companies 
1505, Junior Trade Marketing Specialist , K Khazar Trade 
1506, Tik-Tok üzrə sosial media meneceri , B Blue City Yaşayış Kompleksi 
1507, Sales Representative (Night Shift) , P PITS Global Data Recovery Services 
1508, Finance Manager (Modelling) , C Company 
1509, Kateqoriya üzrə mütəxəssis ,  Veysəloğlu-Rossmann 
1510, Səs üzrə köməkçi ,  Baku Convention Center 
1513, SƏTƏMM üzrə mütəxəssis (Qarabağ) ,  North West Construction 
1516, Logistika və sənədləşmə üzrə mütəxəssis ,  Zeytun Pharmaceuticals 
1517, Təchizat üzrə mütəxəssis , F Fire Safety Caspian Azerbaijan 
1518, Mainstream Teacher (Preschool) ,  Landau School 
1519, Anbardar ,  VMF 
1520, Baş mühasib ,  VMF 
1521, Moto kuryer ,  VMF 
1523, Məlumat bazası üzrə administrator ,  Kontakt Home 
1524, Aparıcı İnteryer Dizayner ,  Kontakt Home 
1525, Müştəri xidmətlərinin idarə edilməsi departamentinin direktoru ,  Kontakt Home 
1526, Qeydçi (Reception) ,  Kontakt Home 
1528, Xadimə ,  Kontakt Home 
1529, Fəhlə ,  Olivia Beauty & Care 
1531, Online Kreditor ,  Kontakt Home 
1532, Kreditor ,  Kontakt Home 
1533, Fəhlə (Məişət anbar) ,  Kontakt Home 
1534, Operator köməkçisi (mebel üzrə kənarbantlama) ,  Kontakt Home 
1535, Aşpaz , C Company 
1536, Xaricdə təhsil üzrə məsləhətçi ,  Glodemia 
1537, Birbaşa satış üzrə təcrübəçi (Ərazi üzrə) ,  PASHA Insurance 
1538, Farmakonəzarət və Keyfiyyətənəzarət üzrə Baş mütəxəssis ,  Avromed Company QSC 
1539, Remote Sales Expert (International Product Sales) ,  Lion Technologies 
1540, Anbar fəhləsi ,  Sirab Satış və Dağıtım MMC 
1541, Satış üzrə mütəxəssis , A Araznet MMC 
1543, Ofis işləri üzrə əməliyyatçı , S Siyəzən Broyler 
1544, Texniki işlər üzrə mütəxəssis , K Klassik Şəms 
1545, Təchizat üzrə baş mütəxəssis , K Klassik Şəms 
1546, Anbardar (Xaçmaz) , A A+Co ASC 
1547, Baş Mühasib , C Company 
